timeSec,trackE,trackF,trackG,A_mode,A_rg,A_az,A_el,B_mode,B_rg,B_az,B_el,C_mode,C_rg,C_az,Cel
0.720,3135932.53488975,-5444394.30672226,1105160.70953174,28,30036.0,-0.065257886006826,9.88418961930633,1004,30036.0,72.289584495628,-0.004083899902666,1004,30036.0,-0.027715258817774,2.05678241208226
0.740,3135932.42999964,-5444384.26683432,1105233.82760918,28,30037.0,-0.0896637111313,9.92161363398781,1004,30037.0,74.2789204074721,-0.008837303181751,1004,30037.0,-0.015229761812913,2.04530913086489
0.760,3135932.50036931,-5444374.33028884,1105309.34591236,28,30038.0,-0.03468996841546,9.91344241806373,1004,30038.0,76.4012275540781,0.003435480243675,1004,30038.0,-0.01417766913105,2.05897512288256
0.780,3135932.95162473,-5444364.35108212,1105385.85623836,28,30039.0,0.103143565528528,9.92845509446898,1004,30039.0,78.1745232590329,0.021631250790208,1004,30039.0,-0.008354857589393,2.01445594969648
0.800,3135933.06592237,-5444354.40650206,1105464.38418038,28,30040.0,0.102060146636198,9.9303485774285,1004,30040.0,79.9730722387777,0.01397553687295,1004,30040.0,-0.005929487308379,1.97857865161112
0.820,3135933.6000786,-5444344.3020629,1105545.00569137,28,30041.0,0.249163151861128,9.9912059962355,1004,30041.0,81.8542614329454,0.035025677627086,1004,30041.0,0.006647583715923,1.96481954228005
0.840,3135932.67296141,-5444334.16095282,1105627.95703366,28,30042.0,-0.120713049130228,10.060152281321,1004,30042.0,83.8117162645982,-0.034657656492511,1004,30042.0,0.019626547245264,1.95621465960431
0.860,3135932.42152465,-5444324.40771372,1105713.48496341,28,30043.0,-0.167554058289248,9.95488025508464,1004,30043.0,86.0090829403631,-0.032371025537181,1004,30043.0,-0.004851820785386,1.99593885190818
0.880,3135932.00352649,-5444313.89350974,1105800.91343877,28,30044.0,-0.261879614992273,10.1628700476237,1004,30044.0,88.1396102310523,-0.040205461066485,1004,30044.0,0.035364544702234,2.01746496774448
0.900,3135932.43427449,-5444304.09410489,1105889.30507181,28,30045.0,-0.09299699151014,10.0526205512473,1004,30045.0,89.9255691796501,-0.009570012927266,1004,30045.0,0.007728403580329,1.98202500509793
0.920,3135932.28500109,-5444294.2113827,1105980.50330682,28,30046.0,-0.117218020612042,9.99006685002979,1004,30046.0,91.9925872362702,-0.011626947274769,1004,30046.0,-0.006136939931305,1.9948478695897
0.940,3135932.39658698,-5444284.54204792,1106073.25142689,28,30047.0,-0.072649336563766,9.87985261878674,1004,30047.0,93.9016021150064,-0.005496547117401,1004,30047.0,-0.023058743400864,1.97986805723469
0.960,3135932.87511098,-5444274.1275093,1106168.39847087,28,30048.0,0.102631203568473,9.97741872714601,1004,30048.0,95.9710799628797,0.023595738039328,1004,30048.0,-0.011181850910318,1.9948766638087
0.980,3135933.10434426,-5444263.67968712,1106265.1079287,28,30049.0,0.181409907484872,10.0921169743764,1004,30049.0,97.9065228684966,0.034188244441521,1004,30049.0,0.005356286957475,1.98795233124819
1.000,3135933.7208234,-5444254.29246318,1106364.97761813,28,30050.0,0.265234986649117,9.89401113041325,1004,30050.0,100.117178780043,0.033745558676188,1004,30050.0,-0.022781113878728,2.01428445321331
1.020,3135932.74884879,-5444244.41293513,1106464.35481054,28,30051.0,0.072151636208929,9.9472415755572,1004,30051.0,101.746756157478,0.014936830965754,1004,30051.0,-0.006640780902539,1.97080773049254
1.040,3135933.71932933,-5444233.96063272,1106567.99655813,28,30052.0,0.259413076992796,9.99764921190145,1004,30052.0,103.898953017287,0.031425118768084,1004,30052.0,-0.005072118081996,1.98901582312921
